1135,-1161,1235
12,-2351,-103
1243,-1093,1063
1660,-552,429
1693,-557,386
1735,-437,1738
1749,-1800,1813
1772,-405,1572
1776,-675,371
1779,-442,1789
1780,-1548,337
1786,-1538,337
1847,-1591,415
1889,-1729,1762
1994,-1805,1792
26,-1119,1091
-27,-1108,-65
-345,-311,381
346,-2985,342
-36,-1284,1171
366,-3059,397
377,-2827,367
390,-675,-793
396,-1931,-563
404,-588,-901
408,-1815,803
-413,-627,1469
423,-701,434
-430,-3130,366
432,-2009,850
443,580,662
-447,-329,318
455,729,728
456,-540,1869
-456,-621,1527
459,-707,401
465,-695,1988
-470,-3283,303
474,580,667
-485,-357,347
496,-1584,1900
497,-1838,-617
-499,-1607,-770
-518,-1681,-600
527,-524,1933
528,-643,409
-532,-1715,1894
534,-1912,768
-537,-823,-458
544,-627,-890
553,345,-567
564,392,-477
568,-2007,-577
-584,868,-557
-601,-1648,-643
605,-1665,1952
612,-1593,1893
-612,-1695,1788
-618,-824,-621
-620,-3212,371
-624,-1620,1868
630,319,-379
-631,-672,1502
-635,-1737,486
-654,-3158,-753
-661,-816,-575
686,-3108,-505
-687,-1600,576
-689,845,-530
-697,-3072,-689
-706,-3180,-659
7,-33,-71
-739,-1745,668
776,-3184,-501
-789,900,-551
-838,591,734
846,-3110,-434
-876,649,763
-892,524,684
